Episodio,Recompensa_Promedio,Desviacion_Estandar
3.470000000000000000e+03,-9.489696388676707173e+00,9.458031442211023432e-04
3.480000000000000000e+03,-9.517017608802126105e+00,2.332538269051553925e-03
3.490000000000000000e+03,-9.501483514508638706e+00,2.483583410146916748e-02
3.500000000000000000e+03,-9.506806538362603476e+00,2.782613704244152331e-02
3.510000000000000000e+03,-9.499898187889339596e+00,1.828465151836411451e-02
3.520000000000000000e+03,-9.505397947177627316e+00,5.578466040515372981e-03
3.530000000000000000e+03,-9.504324325415064223e+00,1.738112809785796742e-02
3.540000000000000000e+03,-9.478690211275214494e+00,7.579158660328211283e-03
3.550000000000000000e+03,-9.480452114868565872e+00,6.769610613128307364e-03
3.560000000000000000e+03,-9.492378449537433482e+00,4.474642070545264971e-03
3.570000000000000000e+03,-9.500405246452118035e+00,2.107154201601346699e-03
3.580000000000000000e+03,-9.522107509289568839e+00,1.746248142683093363e-03
3.590000000000000000e+03,-9.502949335709299561e+00,7.656652739095548554e-03
3.600000000000000000e+03,-9.500874551139919078e+00,1.206633621187602756e-02
3.610000000000000000e+03,-9.484725127408410117e+00,1.373577186500440916e-03
3.620000000000000000e+03,-9.485949661351270379e+00,7.742491499652892628e-03
3.630000000000000000e+03,-9.504790870086019083e+00,3.545453882845883697e-03
3.640000000000000000e+03,-9.521218708555121424e+00,3.401464846653734497e-02
3.650000000000000000e+03,-9.484674492766426823e+00,8.972214600829531150e-03
3.660000000000000000e+03,-9.484972532051971328e+00,1.176134952901364272e-03
3.670000000000000000e+03,-9.479081106364937170e+00,4.452084121156829610e-03
3.680000000000000000e+03,-9.516869579212771768e+00,7.024740914527427549e-04
3.690000000000000000e+03,-9.510303717880209007e+00,5.187285294725008100e-03
3.700000000000000000e+03,-9.506920616796357137e+00,1.839795507293562338e-02
3.710000000000000000e+03,-9.512707619186206998e+00,6.924831491721405996e-03
3.720000000000000000e+03,-9.498672932466162067e+00,2.691763196480501108e-02
3.730000000000000000e+03,-9.511165853868170927e+00,8.285638182505827842e-03
3.740000000000000000e+03,-9.501556618256458364e+00,4.834936008797363627e-03
