Episodio,Q-learning,Sarsa (1-step),Sarsa (8-step),Multi-goal Q-learning,Multi-goal Sarsa
430,197.84,779.35,328.54,210.1,267.09
431,181.38,779.74,330.25,189.05,225.04
432,216.64,821.51,293.43,199.92,218.54
433,221.29,1045.55,253.78,215.73,256.05
434,256.6,895.32,392.75,222.23,192.35
435,263.92,869.71,360.1,226.82,219.17
436,224.37,755.57,251.47,220.76,231.04
437,184.61,692.54,292.18,269.83,264.35
438,230.15,959.43,320.07,233.85,175.75
439,223.39,993.81,391.72,218.57,219.75
440,225.21,840.62,311.42,208.64,183.58
441,216.7,859.82,336.21,220.68,223.49
442,213.05,709.99,260.96,179.98,173.78
443,229.63,856.97,323.63,195.94,203.26
444,206.14,949.49,287.69,181.53,232.33
445,234.02,927.97,387.61,240.01,207.2
446,165.09,869.03,397.26,217.74,223.14
447,223.35,881.4,226.39,188.89,188.99
448,198.25,858.84,273.86,191.68,215.22
449,185.94,823.72,281.75,212.98,217.79
450,236.42,917.12,276.0,200.32,212.71
451,229.38,774.69,381.28,190.43,181.79
452,193.83,937.82,305.34,229.51,211.51
453,200.81,827.88,325.64,219.86,223.12
454,233.71,899.92,321.6,199.12,205.0
455,232.95,684.6,361.23,199.48,196.44
456,175.54,898.83,335.12,212.1,200.06
457,215.76,795.58,324.43,207.31,212.32
458,235.67,935.39,277.59,229.75,217.86
459,218.84,782.53,345.34,250.1,226.46
460,200.26,894.35,350.61,188.34,207.87
461,177.64,826.17,278.37,251.45,224.39
462,189.12,794.5,223.23,226.38,184.65
463,188.72,834.53,237.14,190.05,196.25
464,204.99,808.9,302.63,210.08,189.97
465,171.13,929.75,334.79,255.44,206.15
466,245.07,1046.73,333.03,228.1,211.67
467,181.17,899.5,326.15,201.59,209.2
468,199.55,752.9,355.13,210.26,198.25
469,217.03,911.88,372.89,202.29,231.77
470,221.08,941.6,318.43,234.39,182.47
471,229.95,896.19,322.0,249.77,216.54
472,215.68,1033.66,297.55,187.82,187.85
473,239.17,941.32,315.07,214.28,231.74
474,202.38,958.29,382.9,207.72,216.12
475,194.01,792.96,293.19,194.85,225.58
476,243.28,783.28,434.48,192.72,202.05
477,208.64,814.49,343.06,201.58,206.96
478,162.93,773.36,223.88,256.11,222.43
479,200.79,1054.3,257.27,205.56,226.3
480,195.72,807.28,321.35,210.32,223.94
481,179.29,814.92,244.14,194.32,216.68
482,219.2,865.06,326.61,193.08,200.92
483,175.45,897.45,315.6,205.13,221.97
484,204.48,796.9,338.92,202.49,189.57
485,218.16,834.12,349.62,195.92,205.01
486,182.46,780.44,330.94,202.59,197.43
487,209.17,831.49,327.95,189.56,192.53
488,191.34,839.72,329.95,185.58,223.78
